nome,email,status,valor,forma_pagamento,parcelas
Cecília Almeida,1LnHnHgY@aol.com,reprovado,1278,pix,8
Isabelly Silva,zVkgRTNq@gmail.com,reprovado,949,pix,5
Heloísa Rodrigues,ZtCpoM8G@aol.com,reprovado,674,desconto com cupom,12
Francisco Almeida,xZgC54gW@outlook.com,reprovado,862,desconto com cupom,10
Lívia Pereira,vvDwk4Cb@aol.com,reprovado,977,pix,6
Helena Souza,Bi4ulBgd@hotmail.com,aprovado,658,desconto com cupom,10
Antonella Souza,YnWvXMmx@yahoo.com,reprovado,807,desconto com cupom,11
Enzo Miguel Souza,0xh17w7e@outlook.com,aprovado,841,desconto com cupom,8
Sophia Cunha,Bg1kXmUd@yahoo.com,reprovado,758,parcelado,7
Murilo Silva,NEjrk5rV@gmail.com,reprovado,1035,a vista,5
Enzo Miguel Souza,zD2djcNE@outlook.com,aprovado,929,a vista,10
Heloísa Cunha,nTWZBs7R@yahoo.com,aprovado,1092,desconto com cupom,9
Gustavo Cunha,7ekxPZ8f@yahoo.com,aprovado,671,parcelado,7
Isabela Souza,wo2dJTXY@outlook.com,reprovado,678,pix,9
Rebeca Costa,QCt8uay3@aol.com,aprovado,695,desconto com cupom,5
Enzo Miguel Ferreira,C2WgE63B@aol.com,aprovado,828,desconto com cupom,11
Laura Silva,YdnsXKSQ@outlook.com,aprovado,1094,parcelado,5
Tomás Rodrigues,6BKliHLj@aol.com,reprovado,920,a vista,9
Helena Ferreira,suTbMgmV@hotmail.com,reprovado,1063,pix,3
Maria Luiza Pereira,JyChjl23@yahoo.com,aprovado,1264,parcelado,8
Felipe Santos,bFJ8IVSD@gmail.com,reprovado,961,desconto com cupom,6
Vitória Santos,CgZUIGdh@yahoo.com,reprovado,814,parcelado,7
Caleb Oliveira,Ox3eTrTY@gmail.com,aprovado,930,a vista,10
João Silva,JG2Aac1I@aol.com,reprovado,756,desconto com cupom,6
Gustavo Santos,hREAtIlc@hotmail.com,reprovado,1060,pix,9
Gabriel Santos,R6zdEhzH@aol.com,aprovado,771,parcelado,7
Felipe Souza,BzFtnKTD@yahoo.com,aprovado,1049,a vista,6
Gabriela Souza,gmRKpTzf@aol.com,reprovado,1039,a vista,3
Maria Ferreira,uO535Kt6@outlook.com,aprovado,839,desconto com cupom,12
Bernardo Silva,CNWE2GC7@yahoo.com,aprovado,612,parcelado,8
Nicolas Almeida,0L0Cfx1i@outlook.com,reprovado,1217,desconto com cupom,7
Arthur Souza,AO92YttJ@hotmail.com,reprovado,919,pix,8
Samuel Almeida,rFAQOoOZ@hotmail.com,aprovado,874,pix,12
Carolina Rodrigues,bnWGbEA2@outlook.com,aprovado,1216,a vista,10
Matheus Pereira,ASkem8HJ@hotmail.com,reprovado,815,parcelado,5
Pedro Henrique Souza,heZ5e31D@gmail.com,aprovado,699,pix,8
Davi Silva,Ij0pCMsj@yahoo.com,reprovado,1017,pix,7
Enzo Gabriel Ferreira,OKYor0QY@gmail.com,aprovado,608,a vista,12
João Pedro Ferreira,SEuG7lmp@hotmail.com,aprovado,733,pix,5
Rebeca Costa,LYhLmSem@aol.com,reprovado,705,desconto com cupom,10
Leonardo Oliveira,XIc1uJMS@aol.com,reprovado,1072,parcelado,4
Enzo Rodrigues,fsdyyn1W@yahoo.com,aprovado,1079,desconto com cupom,11
Yasmin Rodrigues,GEq13Lws@gmail.com,aprovado,802,desconto com cupom,6
Otávio Ferreira,4UsmFcJo@yahoo.com,reprovado,1090,a vista,6
João Miguel Costa,iZ9eDSte@outlook.com,aprovado,1220,pix,7
Isadora Costa,lvWbZ1CD@aol.com,reprovado,707,desconto com cupom,9
Davi Lucca Oliveira,kNHrbmWC@outlook.com,aprovado,921,a vista,6
Maria Almeida,BAF6WkF2@gmail.com,reprovado,1081,pix,11
João Pedro Souza,s82vkRHe@yahoo.com,aprovado,1082,pix,1
Rebeca Santos,kkNAYyGf@gmail.com,aprovado,1068,a vista,7
Laura Almeida,vt0lSgii@yahoo.com,aprovado,1017,pix,11
Anthony Cunha,c8tJIqNF@outlook.com,reprovado,780,a vista,5
